label,t,ds,ph,na,k,li,ca,mg,cl,so4,alk,no3,si,b,pco2
trial38,37.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial39,38.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial40,39.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial41,40.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial42,41.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial43,42.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial44,43.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial45,44.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial46,45.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial47,46.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial48,47.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial49,48.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial50,49.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
